 Obnm,UT date,jd,mnvel,errvel,mdchi,cts,,
rj129.324,8/9/2011,15783.02238,4.62,1.7,1.147,24634,,
rj130.472,8/15/2011,15788.77108,0.87,1.62,1.161,25236,,
rj130.679,8/16/2011,15790.01888,10.8,1.88,1.122,20574,,JD-2.44e6
rj130.1103,8/18/2011,15792.04786,-5.04,1.76,1.12,21928,,
rj130.1508,8/20/2011,15794.05862,2.54,2.16,1.105,13845,,
rj130.1886,8/22/2011,15795.97331,2.67,2.01,1.149,22033,,
rj130.2294,8/24/2011,15798.01282,-0.99,1.83,1.138,22002,,
rj131.1083,9/7/2011,15811.79134,-3.02,2.01,1.15,22009,,
rj152.940,6/23/2012,16102.05366,0.94,1.99,1.14,22436,,
rj156.291,8/5/2012,16145.00069,0.08,1.76,1.152,22270,,
rj156.667,8/7/2012,16147.04385,3.22,1.99,1.114,17526,,
rj157.280,8/25/2012,16164.86516,2.62,1.93,1.125,21871,,
rj157.684,8/27/2012,16166.86893,-4.79,1.97,1.123,22703,,
rj172.399,6/30/2013,16473.88726,-0.37,2.05,1.133,17945,,
rj172.731,7/1/2013,16475.06778,0.79,1.95,1.145,22428,,
rj172.902,7/2/2013,16475.89622,-4.52,1.83,1.161,22898,,
rj172.1105,7/3/2013,16477.04987,-0.93,1.89,1.158,22967,,
rj173.595,7/12/2013,16485.9711,-0.11,1.72,1.151,22347,,
rj173.996,7/14/2013,16488.06325,-9.22,1.9,1.15,22410,,
rj173.1385,7/16/2013,16490.0159,-3.15,1.78,1.155,22008,,
rj176.278,8/3/2013,16507.99766,5.81,1.83,1.151,22674,,
rj177.118,8/8/2013,16513.02715,2.43,1.81,1.142,22429,,
rj179.111,8/17/2013,16521.95866,10.77,1.73,1.143,22115,,
rj179.484,8/19/2013,16523.87958,-3.94,1.69,1.111,21800,,
rj179.679,8/20/2013,16524.80974,4.4,1.67,1.124,21703,,
rj180.278,8/26/2013,16530.88151,3.07,1.88,1.141,21877,,
rj180.679,8/28/2013,16532.854,8.28,1.8,1.169,22508,,
rj188.100,6/18/2014,16826.87701,-3.75,2.02,1.165,22434,,
rj189.883,7/8/2014,16846.92236,-1.17,2.4,1.101,11736,,
rj189.1100,7/9/2014,16848.11261,5.76,3.19,1.07,5377,,
rj189.1484,7/11/2014,16849.85474,1.73,1.74,1.174,21616,,
rj189.1895,7/13/2014,16851.91475,-5.07,1.92,1.149,20796,,
rj190.412,7/24/2014,16863.09905,-3.09,1.82,1.159,22828,,
rj190.991,7/27/2014,16866.00433,-5.97,1.83,1.136,20711,,
rj191.165,8/3/2014,16873.06662,-3.38,2.24,1.144,14365,,
rj191.468,8/5/2014,16875.05835,2.11,1.89,1.142,22049,,
rj192.527,8/12/2014,16882.06839,7.38,1.77,1.151,21942,,
rj192.876,8/14/2014,16883.93123,-4.76,1.85,1.121,17453,,
rj202.1072,7/8/2015,17211.90065,-3.56,1.81,1.155,22399,,
rj202.1386,7/10/2015,17213.99742,-3.26,1.83,1.148,21954,,
rj204.291,7/26/2015,17229.8559,-5.77,1.75,1.183,22318,,
rj204.569,7/28/2015,17232.09904,-0.45,1.84,1.172,22409,,
rj234.608,7/26/2016,17596.0558,0.85,2.29,1.107,14639,,
rj240.111,9/20/2016,17651.91564,-3.23,2.12,1.123,15970,,
rj265.277,7/30/2017,17964.91013,-2.12,2.02,1.126,16812,,
rj277.374,12/11/2017,18098.72025,-3.84,3.16,1.087,5849,,
